Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
LNY,Lanai,HNL,IV,Lanai City,HI,Western,Surface Region 5,N
MKK,Molokai,HNL,IV,Hoolehua,HI,Western,Surface Region 5,N
PPG,Pago Pago International,HNL,III,Pago Pago,AS,Western,Surface Region 5,Y
LYH,Lynchburg Regional/Preston Glenn Field,IAD,III,Lynchburg,VA,Southeast,Surface Region 2,Y
LAS,Harry Reid International,LAS,X,Las Vegas,NV,Western,Surface Region 5,Y
PHF,Newport News/Williamsburg International,IAD,III,Newport News,VA,Southeast,Surface Region 2,Y
LAX,Los Angeles International,LAX,X,Los Angeles,CA,Western,Surface Region 5,Y
LBB,Lubbock Preston Smith International,AUS,II,Lubbock,TX,Western,Surface Region 4,Y
SHD,Shenandoah Valley Regional,IAD,IV,Weyers Cave,VA,Southeast,Surface Region 2,Y
BPT,Jack Brooks Regional,IAH,III,Beaumont,TX,Western,Surface Region 4,Y
DDC,Dodge City Regional,ICT,IV,Dodge City,KS,Central,Surface Region 3,Y
FOE,Topeka Regional,ICT,IV,Topeka,KS,Central,Surface Region 3,N
GCK,Garden City Regional,ICT,III,Garden City,KS,Central,Surface Region 3,Y
HYS,Hays Regional,ICT,IV,Hays,KS,Central,Surface Region 3,Y
LEX,Blue Grass,CVG,II,Lexington,KY,Northeast,Surface Region 2,Y
LBL,Liberal Mid-America Regional,ICT,IV,Liberal,KS,Central,Surface Region 3,Y
LGA,LaGuardia,JFK,X,Flushing,NY,Northeast,Surface Region 1,Y
LGB,Long Beach (Daugherty Field),LAX,I,Long Beach,CA,Western,Surface Region 5,Y
LIH,Lihue,HNL,I,Lihue,HI,Western,Surface Region 5,Y
LIT,Bill and Hillary Clinton National/Adams Field,LIT,II,Little Rock,AR,Southeast,Surface Region 4,Y
MHK,Manhattan Regional,ICT,III,Manhattan,KS,Central,Surface Region 3,Y
SLN,Salina Regional,ICT,IV,Salina,KS,Central,Surface Region 3,Y
EVV,Evansville Regional,IND,III,Evansville,IN,Northeast,Surface Region 3,Y
LAF,Purdue University,IND,IV,West Lafayette,IN,Northeast,Surface Region 3,Y
